name,mew,nf,type
vl1re8,0,0,0b000
vl1re16,0,0,0b101
vl1re32,0,0,0b110
vl1re64,0,0,0b111
vl2re8,0,1,0b000
vl2re16,0,1,0b101
vl2re32,0,1,0b110
vl2re64,0,1,0b111
vl3re8,0,2,0b000
vl3re16,0,2,0b101
vl3re32,0,2,0b110
vl3re64,0,2,0b111
vl4re8,0,3,0b000
vl4re16,0,3,0b101
vl4re32,0,3,0b110
vl4re64,0,3,0b111
vl1r,0,0,0b000
vl2r,0,1,0b000
vl3r,0,2,0b000
vl4r,0,3,0b000
vlse8,0,0,0b000
vlse16,0,0,0b101
vlse32,0,0,0b110
vlse64,0,0,0b111
vluxei8,0,0,0b000
vluxei16,0,0,0b101
vluxei32,0,0,0b110
vluxei64,0,0,0b111
vloxei8,0,0,0b000
vloxei16,0,0,0b101
vloxei32,0,0,0b110
vloxei64,0,0,0b111
vs1r,0,0,0b000
vs2r,0,1,0b000
vs3r,0,2,0b000
vs4r,0,3,0b000
vsse8,0,0,0b000
vsse16,0,0,0b101
vsse32,0,0,0b110
vsse64,0,0,0b111
vsuxei8,0,0,0b000
vsuxei16,0,0,0b101
vsuxei32,0,0,0b110
vsuxei64,0,0,0b111
vsoxei8,0,0,0b000
vsoxei16,0,0,0b101
vsoxei32,0,0,0b110
vsoxei64,0,0,0b111
